,0,1
0.0,-0.36763413924834176,0.3205953633146007
0.0625,-0.3640737898340902,0.3080873459780401
0.125,-0.35333498433428767,0.27241147590101666
0.18750000000000003,-0.3352480516057805,0.21844077536733708
0.25,-0.3095499557021418,0.1524865735192043
0.3125,-0.27593861921957696,0.08069355072870406
0.37500000000000006,-0.23418538964950797,0.008075930022975207
0.43749999999999994,-0.18432098274288847,-0.0616901382603294
0.5,-0.1308995247424253,-0.12196883657060345
0.5625,-0.18432098274288805,-0.06169013826033
0.625,-0.23418538964950736,0.008075930022975755
0.6875,-0.2759386192195768,0.08069355072870425
0.7500000000000001,-0.3095499557021418,0.1524865735192045
0.8125,-0.33524805160578075,0.21844077536733714
0.8749999999999999,-0.35333498433428756,0.2724114759010161
0.9375000000000001,-0.36407378983409017,0.3080873459780402
1.0,-0.36763413924834176,0.3205953633146007
nocc,2.0,0.0
