,0,1,2,3
0.0,-0.3678002736728714,-0.12901596126671136,-0.1240569591523921,0.3205686724057573
0.0625,-0.3669113797967959,-0.15645350747996276,-0.09489459699562919,0.31741151250671534
0.125,-0.36424105812021657,-0.18436096078603964,-0.06185398543393922,0.3080614162180664
0.18750000000000003,-0.35977841401141664,-0.21034463519214425,-0.027453899070566223,0.2928704931606282
0.25,-0.3535054051041303,-0.23431659827562168,0.008005175672437774,0.27238765743884347
0.3125,-0.34539712164776104,-0.2562392682391994,0.04418034900694766,0.2473088151642383
0.37500000000000006,-0.33542239509706034,-0.2761041016837905,0.08065930278239138,0.21841935146216712
0.43749999999999994,-0.32354494428309816,-0.2939236932276252,0.11694810171298398,0.18653732709119794
0.5,-0.30972529766162993,-0.3097252946638627,0.15246429189281704,0.15246429516570212
0.5625,-0.3235449442830984,-0.29392369322762535,0.11694810171298375,0.1865373270911977
0.625,-0.33542239509706034,-0.2761041016837905,0.08065930278239075,0.21841935146216648
0.6875,-0.34539712164776115,-0.25623926823919935,0.044180349006947596,0.24730881516423825
0.7500000000000001,-0.35350540510413037,-0.2343165982756214,0.00800517567243767,0.27238765743884347
0.8125,-0.35977841401141647,-0.210344635192144,-0.027453899070566612,0.2928704931606281
0.8749999999999999,-0.36424105812021634,-0.18436096078603897,-0.061853985433939114,0.30806141621806743
0.9375000000000001,-0.36691137979679594,-0.15645350747996134,-0.09489459699563067,0.3174115125067154
1.0,-0.3678002736728714,-0.12901596126671136,-0.1240569591523921,0.3205686724057573
nocc,2.0,2.0,0.0,0.0
